ID,L,Section,B,H,RECT_TH (in),Type,MIN FX,MAX FX,MIN FY,MAX FY,MIN FZ,MAX FZ,MIN MX,MAX MX,MIN MY,MAX MY,MIN MZ,MAX MZ,AREA TOP,AREA BOTTOM,STIRRUP SPACING,BAR TYPE TOP,BAR COUNT TOP,BAR TYPE BOTTOM,BAR COUNT BOTTOM,EFFICIENCY MIN MY,EFFICIENCY MAX MY
1,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-3.96,3.74,-1.48,2.23,-9.03,14.93,-13.19,16.79,-30.44,22.93,-0.51,3.22,0.9817477042468103,0.9203884727313847,7.06573409979766,4,5,5,3,0.233573091947689,0.186706524057924
2,73.0,16 x 32,16.0,32.0,0.0,RC Beam,-0.48,7.13,-1.11,1.07,-13.76,14.1,-19.21,12.97,-46.2,1.66,-2.35,0.23,1.2026409377023426,0.7853981633974483,7.84956809290632,7,2,4,4,0.293401882670095,0.0156048181450940
3,67.0,16 x 32,16.0,32.0,0.0,RC Beam,-0.76,20.81,-0.14,0.79,-29.41,33.79,-0.31,13.41,-149.82,8.58,-2.58,0.69,2.0,0.7853981633974483,0.366486827168420,9,2,4,4,0.586296525125016,0.0803092703062916
4,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-1.37,1.04,-0.82,0.94,-6.95,19.03,-17.92,19.3,-72.81,45.98,-0.98,0.41,1.325359400733194,1.2026409377023426,4.19686863426059,6,3,7,2,0.421371248833356,0.291453217191691
5,35.0,16 x 32,16.0,32.0,0.0,RC Beam,-4.65,1.35,-5.15,5.28,-25.02,32.39,-13.55,13.8,-228.76,17.72,-0.98,0.64,3.0,0.8835729338221293,0.112182460327906,9,3,6,2,0.607095266593225,0.148741912029049
6,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-6.75,5.33,-0.42,0.21,-6.03,16.24,-21.1,7.1,-56.19,27.32,-0.19,0.86,1.2026409377023426,0.9203884727313847,5.99162008066374,7,2,5,3,0.356633894492942,0.222131931808251
7,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-1.42,2.79,-0.79,0.49,-14.15,25.33,-18.45,16.93,-117.67,93.45,-0.64,0.89,1.7671458676442586,1.5707963267948966,1.59855547216656,6,4,8,2,0.518283758656571,0.460308966245237
8,35.0,16 x 32,16.0,32.0,0.0,RC Beam,-5.63,3.22,-4.86,4.63,-26.59,31.24,-24.18,17.05,-213.23,24.36,-0.27,0.7,2.53125,0.9203884727313847,0.113761527208037,10,2,5,3,0.665757964952701,0.197190675397861
9,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-0.38,2.17,-0.47,0.66,-10.37,19.87,-21.35,9.39,-99.2,48.44,-1.27,0.15,1.5707963267948966,1.2026409377023426,3.75522949723096,8,2,7,2,0.488825431594442,0.306874272968261
10,35.0,16 x 32,16.0,32.0,0.0,RC Beam,-0.77,5.18,-6.46,6.75,-57.4,57.37,-17.0,8.55,-370.67,32.48,-0.67,0.24,3.796875,0.9817477042468103,2.77078620362340,10,3,4,5,0.786015248876494,0.247476134891544
11,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-1.28,4.51,-0.42,0.16,-15.5,27.83,-32.02,9.23,-153.69,87.43,-0.94,0.44,2.0,1.5707963267948966,0.893510963348153,9,2,8,2,0.601485185301463,0.430605213165450
12,32.0,16 x 32,16.0,32.0,0.0,RC Beam,-5.91,15.46,-6.15,7.95,-38.44,30.53,-36.52,35.51,-224.08,16.55,-3.23,0.58,3.0,0.8835729338221293,0.261755981329155,9,3,6,2,0.594675237533703,0.138920916708847
13,14.0,16 x 32,16.0,32.0,0.0,RC Beam,-8.49,11.83,-1.41,2.13,-15.73,18.48,-22.16,6.02,-58.04,47.71,-3.75,0.76,1.2026409377023426,1.2026409377023426,4.50778734361359,7,2,7,2,0.368021005135725,0.302520367936345
14,35.0,16 x 32,16.0,32.0,0.0,RC Beam,-8.94,14.23,-4.95,5.7,-48.91,26.31,-32.91,37.76,-469.56,19.37,-4.8,2.6,4.6875,0.8835729338221293,1.30621095058834,11,3,6,2,0.817669316800759,0.162292227880040
15,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-4.06,4.87,-0.82,0.63,-16.14,27.7,-11.03,31.71,-130.42,91.98,-0.88,1.05,1.803961406553514,1.5707963267948966,0.927036466064227,7,3,8,2,0.563263632164199,0.453059069501962
16,35.0,16 x 32,16.0,32.0,0.0,RC Beam,-4.76,14.34,-7.8,7.94,-52.2,28.21,-49.61,37.38,-477.93,24.01,-3.08,2.85,4.6875,0.9203884727313847,0.797285009215848,11,3,5,3,0.831955896347458,0.193872774871904
17,15.0,16 x 32,16.0,32.0,0.0,RC Beam,-4.21,4.04,-0.37,0.4,-18.26,43.48,-5.4,9.52,-194.3,121.45,-0.7,0.15,2.356194490192345,1.7671458676442586,1.67769295975209,8,3,6,4,0.649886855486955,0.534861295792562
