ID,L,Section,B,H,RECT_TH (in),Type,MIN FX,MAX FX,MIN FY,MAX FY,MIN FZ,MAX FZ,MIN MX,MAX MX,MIN MY,MAX MY,MIN MZ,MAX MZ
265,9.0,18 x 18,18.0,18.0,0.0,RC Column,-89.07,459.48,-11.19,18.06,-5.52,27.32,-0.36,0.44,-121.96,123.88,-77.34,85.25
266,9.0,18 x 18,18.0,18.0,0.0,RC Column,-92.9,741.66,-13.75,27.06,-16.06,11.88,-0.53,0.5,-72.05,72.47,-119.52,123.98
267,9.0,18 x 18,18.0,18.0,0.0,RC Column,-91.43,440.28,-15.04,22.96,-24.98,6.25,-0.66,0.58,-113.33,111.49,-99.76,106.87
268,9.0,18 x 18,18.0,18.0,0.0,RC Column,-15.41,465.92,-19.12,17.61,-5.46,41.37,-0.51,0.48,-178.13,194.23,-87.63,84.45
269,9.0,18 x 18,18.0,18.0,0.0,RC Column,-5.55,819.56,-22.33,23.72,-16.99,11.72,-0.52,0.5,-76.45,76.43,-105.02,108.5
270,9.0,18 x 18,18.0,18.0,0.0,RC Column,-21.23,527.78,-24.79,27.7,-35.51,6.33,-0.5,0.5,-165.97,154.54,-123.58,125.68
271,9.0,18 x 18,18.0,18.0,0.0,RC Column,-3.69,322.66,-23.76,16.3,-5.54,44.05,-0.53,0.51,-187.31,209.15,-107.55,106.28
272,9.0,18 x 18,18.0,18.0,0.0,RC Column,-7.1,706.88,-26.19,21.0,-16.38,11.22,-0.52,0.5,-74.35,73.08,-117.89,117.83
273,9.0,18 x 18,18.0,18.0,0.0,RC Column,-21.7,571.1,-24.99,26.09,-34.87,6.02,-0.5,0.49,-162.44,151.35,-115.59,119.2
274,9.0,18 x 18,18.0,18.0,0.0,RC Column,-3.21,104.89,-25.47,26.11,-7.33,49.85,-0.66,0.64,-202.65,245.98,-123.11,120.21
275,9.0,18 x 18,18.0,18.0,0.0,RC Column,-15.36,593.62,-23.23,23.35,-15.97,10.68,-0.52,0.5,-73.65,70.12,-106.08,106.89
276,9.0,18 x 18,18.0,18.0,0.0,RC Column,-21.07,567.28,-25.11,25.46,-33.73,5.68,-0.5,0.49,-156.37,147.18,-114.73,116.62
277,9.0,18 x 18,18.0,18.0,0.0,RC Column,-70.72,299.68,-19.11,22.68,-4.88,41.37,-0.5,0.51,-175.8,196.53,-100.46,103.69
278,9.0,18 x 18,18.0,18.0,0.0,RC Column,-13.24,647.08,-23.08,24.16,-15.14,10.19,-0.51,0.5,-68.71,67.52,-107.43,109.99
279,9.0,18 x 18,18.0,18.0,0.0,RC Column,-18.68,521.76,-26.51,24.61,-33.0,5.45,-0.5,0.49,-153.65,143.31,-120.41,118.16
280,9.0,18 x 18,18.0,18.0,0.0,RC Column,-11.93,316.73,-18.4,19.1,-4.52,37.54,-0.46,0.48,-161.59,176.3,-85.01,88.41
281,9.0,18 x 18,18.0,18.0,0.0,RC Column,-4.68,637.69,-24.47,21.5,-14.68,9.84,-0.51,0.5,-66.04,66.04,-110.7,109.55
282,9.0,18 x 18,18.0,18.0,0.0,RC Column,-20.56,438.26,-27.65,23.62,-31.99,5.25,-0.52,0.49,-149.43,138.46,-124.66,124.14
283,9.0,18 x 18,18.0,18.0,0.0,RC Column,0.0,290.01,-17.46,9.01,-3.92,24.26,-0.46,0.39,-108.15,111.59,-81.82,75.28
284,9.0,18 x 18,18.0,18.0,0.0,RC Column,-13.28,509.2,-26.36,8.28,-13.18,9.15,-0.5,0.5,-59.1,59.54,-120.01,117.2
285,9.0,18 x 18,18.0,18.0,0.0,RC Column,-33.14,308.43,-22.96,11.62,-22.4,4.9,-0.55,0.63,-101.73,99.85,-105.88,100.77
286,15.0,18 x 18,18.0,18.0,0.0,RC Column,-68.59,391.71,-16.62,19.78,-6.86,16.85,-0.76,0.68,-128.24,124.5,-145.75,150.93
287,15.0,18 x 18,18.0,18.0,0.0,RC Column,-70.83,626.85,-18.18,24.28,-11.1,10.59,-0.6,0.61,-83.08,83.47,-180.72,183.55
288,15.0,18 x 18,18.0,18.0,0.0,RC Column,-69.22,373.36,-18.86,22.74,-14.56,7.61,-0.51,0.57,-108.52,109.88,-169.32,171.8
289,15.0,18 x 18,18.0,18.0,0.0,RC Column,-12.54,379.06,-21.3,20.56,-6.68,20.78,-0.63,0.63,-160.08,151.61,-159.47,160.09
290,15.0,18 x 18,18.0,18.0,0.0,RC Column,-6.51,746.77,-22.55,23.49,-10.83,10.32,-0.61,0.61,-79.95,82.52,-175.48,176.84
291,15.0,18 x 18,18.0,18.0,0.0,RC Column,-15.59,443.84,-23.71,25.61,-17.8,7.52,-0.61,0.6,-131.74,135.28,-192.15,192.02
292,15.0,18 x 18,18.0,18.0,0.0,RC Column,-1.09,244.17,-21.95,16.87,-6.46,19.53,-0.66,0.65,-157.36,135.56,-167.69,161.62
293,15.0,18 x 18,18.0,18.0,0.0,RC Column,-6.08,604.99,-25.27,21.46,-8.94,10.43,-0.6,0.6,-74.25,84.24,-187.56,191.54
294,15.0,18 x 18,18.0,18.0,0.0,RC Column,-17.22,487.17,-23.89,24.64,-17.42,7.29,-0.6,0.6,-129.67,131.7,-184.36,185.25
295,15.0,18 x 18,18.0,18.0,0.0,RC Column,-14.87,425.9,-23.02,23.18,-7.65,12.2,-0.58,0.58,-79.22,103.82,-173.5,174.86
296,15.0,18 x 18,18.0,18.0,0.0,RC Column,-16.84,484.83,-23.99,24.21,-17.03,7.12,-0.6,0.59,-127.95,127.52,-180.8,182.33
297,15.0,18 x 18,18.0,18.0,0.0,RC Column,-67.48,227.35,-18.82,21.23,-6.01,18.24,-0.64,0.66,-147.28,126.37,-154.26,164.19
298,15.0,18 x 18,18.0,18.0,0.0,RC Column,-10.53,544.59,-22.91,24.34,-8.17,9.62,-0.59,0.59,-68.27,77.86,-183.36,181.81
299,15.0,18 x 18,18.0,18.0,0.0,RC Column,-15.25,442.63,-24.58,23.64,-16.27,6.74,-0.6,0.6,-121.05,122.99,-184.4,184.35
300,15.0,18 x 18,18.0,18.0,0.0,RC Column,-7.69,236.05,-20.95,21.45,-5.75,18.52,-0.62,0.63,-143.18,134.6,-160.42,161.36
