ID,Length (ft),B,H,MIN FX,MAX FX,MIN FY,MAX FY,MIN FZ,MAX FZ,MIN MX,MAX MX,MIN MY,MAX MY,MIN MZ,MAX MZ,AREA TOP,AREA BOTTOM,STIRRUP SPACING,BAR TYPE TOP,BAR COUNT TOP,BAR TYPE BOTTOM,BAR COUNT BOTTOM,EFFICIENCY MIN MY,EFFICIENCY MAX MY
1,104.0,18.0,18.0,19.56,564.74,-16.87,23.68,-28.37,3.43,-0.67,1.46,-125.0,114.38,-168.99,170.96,2.2089323345553233,2.0,5.60603200874104,6,5,9,2,0.872460856823936,0.873801241696413
2,104.0,18.0,18.0,26.93,710.02,-24.15,27.92,-43.8,1.72,-0.62,1.43,-176.27,159.06,-191.41,190.93,3.0066023442558567,3.0,3.63112164584437,7,5,9,3,0.926681401986271,0.837911639507077
3,104.0,18.0,18.0,23.36,585.52,-15.16,19.68,-1.79,32.96,-0.75,1.15,-127.2,148.39,-145.06,149.74,2.2089323345553233,2.53125,0.218327969964226,6,5,10,2,0.887839700587601,0.914263540851789
4,104.0,18.0,18.0,21.61,656.01,-22.24,20.5,0.32,52.97,-0.63,1.22,-177.84,194.06,-158.77,159.75,3.125,3.796875,2.49685840834474,11,2,10,3,0.902101200358313,0.821458422011122
5,71.0,18.0,18.0,13.88,486.54,-23.88,17.89,-0.07,54.44,-0.65,0.61,-187.15,209.27,-167.21,160.78,3.796875,3.796875,2.59820150422522,10,3,10,3,0.791879330496451,0.885474686043240
6,71.0,18.0,18.0,12.19,449.0,-18.63,22.77,-0.01,51.36,-0.62,0.65,-175.58,196.45,-153.83,163.6,3.0,3.796875,2.37920735767175,9,3,10,3,0.925042406217411,0.831663366817832
7,71.0,18.0,18.0,26.86,491.56,-20.55,22.43,0.68,48.31,-0.61,0.63,-161.56,176.39,-159.89,160.44,3.0,3.0066023442558567,2.13482901863012,9,3,7,5,0.851081381106271,0.927312262417645
8,71.0,18.0,18.0,14.78,413.58,-19.34,15.91,-0.57,30.09,-0.64,0.74,-110.71,122.73,-146.46,143.4,2.0,2.2089323345553233,0.356976075439650,9,2,6,5,0.845764429692340,0.856616967664014
9,71.0,18.0,18.0,141.86,1188.11,-29.82,21.47,-17.27,23.42,-0.6,0.58,-92.98,164.51,-186.18,190.42,1.7671458676442586,3.0,2.23863834799227,6,4,9,3,0.793701208311087,0.866637853178027
10,71.0,18.0,18.0,128.76,1084.39,-23.39,27.63,-15.95,22.82,-0.58,0.6,-87.3,163.6,-181.99,180.15,1.5339807878856413,3.0,2.46182778746622,5,5,9,3,0.844787227461337,0.861903121674354
11,71.0,18.0,18.0,114.61,1060.71,-23.32,23.98,-16.55,43.52,-0.57,0.58,-170.55,310.29,-171.76,173.44,3.0,6.25,1.68189544784055,9,3,11,4,0.898838695092165,0.830980578370942
12,104.0,18.0,18.0,40.98,949.61,-15.14,27.91,-16.09,9.63,-0.6,1.32,-81.94,82.08,-181.2,183.34,1.5339807878856413,1.5339807878856413,9.88459466053346,5,5,5,5,0.794885288805954,0.796243403773403
13,71.0,18.0,18.0,112.69,1062.85,-25.81,23.21,-15.3,10.38,-0.59,0.61,-66.31,80.68,-178.22,179.62,1.1780972450961724,1.5339807878856413,10.3949756920251,4,6,5,5,0.810696475435347,0.783554363718040
14,71.0,18.0,18.0,42.68,728.18,-26.8,15.68,-13.2,7.61,-0.6,0.6,-65.37,65.74,-179.4,178.95,1.1780972450961724,1.1780972450961724,12.0487218248472,4,6,4,6,0.801274846723639,0.805810133449778
15,71.0,18.0,18.0,16.32,433.63,-23.74,17.16,-25.97,2.33,-0.58,0.64,-142.08,109.92,-170.68,170.72,2.53125,2.0,6.12410966838596,10,2,9,2,0.875336837769880,0.839662636080323
16,104.0,18.0,18.0,25.71,689.74,-26.61,24.53,-41.55,1.31,-0.59,1.39,-207.32,174.84,-184.2,184.76,3.796875,3.0,3.82775278190092,10,3,9,3,0.877681085307574,0.921143719689327
17,104.0,18.0,18.0,18.72,599.06,-27.65,24.8,-39.82,1.28,-0.58,1.36,-186.46,142.78,-189.89,191.8,3.796875,2.53125,3.99405143365101,10,3,10,2,0.789775642125137,0.879980356988235
18,104.0,18.0,18.0,31.57,746.57,-24.87,25.39,-43.53,1.43,-0.6,1.42,-223.11,199.14,-180.17,181.19,3.9269908169872414,3.796875,3.65364410953327,8,5,10,3,0.914805216952109,0.842563698390948
19,104.0,18.0,18.0,32.07,750.59,-24.29,26.05,-43.81,1.53,-0.6,1.44,-207.24,186.57,-183.9,184.31,3.796875,3.796875,3.63029281186905,10,3,10,3,0.876885238856984,0.789425202728950
20,104.0,18.0,18.0,36.29,1301.13,-22.55,25.09,-17.61,10.88,-0.61,1.31,-78.99,81.24,-176.23,176.88,1.5339807878856413,1.5339807878856413,9.03140988574579,5,5,5,5,0.766267866277548,0.788094713968705
21,23.0,18.0,18.0,42.68,306.35,-25.1,26.05,8.6,54.7,-0.66,0.63,-203.22,246.96,-122.85,118.56,3.796875,4.6875,2.61555923016492,10,3,11,3,0.859621548883839,0.858319409305028
22,15.0,16.0,32.0,-4.01,3.82,-1.5,2.19,-9.14,14.86,-12.36,17.72,-29.72,52.15,-2.45,3.16,0.9817477042468103,1.2026409377023426,7.12845963055041,4,5,7,2,0.227670195402793,0.330913780888942
23,73.0,16.0,32.0,-4.04,8.7,-1.35,2.05,-13.56,14.53,-18.91,12.98,-44.39,46.04,-3.98,2.53,1.2026409377023426,1.2026409377023426,7.43230627047344,7,2,7,2,0.281468856271103,0.291931203936058
24,67.0,16.0,32.0,5.39,40.12,-6.37,0.79,-32.41,34.23,-24.16,12.73,-152.84,161.74,-13.94,5.09,2.0,2.356194490192345,0.442114808355854,9,2,8,3,0.598184683921865,0.541000302775298
25,15.0,16.0,32.0,-1.2,0.95,-0.8,0.94,-7.12,19.01,-17.7,19.75,-72.48,50.94,-0.98,0.69,1.325359400733194,1.2026409377023426,4.20785955339185,6,3,7,2,0.419461449188870,0.322893146666915
26,67.0,16.0,32.0,-4.53,4.64,-0.97,0.44,-38.93,52.05,-21.8,13.55,-231.6,144.26,-0.95,2.17,3.0,2.0,2.43052045898215,9,3,9,2,0.614088190347655,0.564618081735872
27,73.0,16.0,32.0,-2.35,0.99,-0.53,0.42,-19.85,16.89,-21.59,11.97,-100.35,52.21,-0.68,1.02,1.5707963267948966,1.2026409377023426,5.52050977560563,8,2,7,2,0.494492258674418,0.330757757879292
28,15.0,16.0,32.0,-1.44,2.84,-0.83,0.41,-14.63,25.41,-18.53,17.41,-117.73,93.91,-0.62,0.96,1.7671458676442586,1.5707963267948966,1.57384534080988,6,4,8,2,0.518548031840215,0.462574799572929
29,67.0,16.0,32.0,-9.14,4.38,-0.36,1.4,-40.57,66.14,-31.31,17.26,-217.64,166.86,-3.08,1.11,2.53125,2.356194490192345,2.40464360580561,10,2,8,3,0.679553500327725,0.558166366910201
30,73.0,16.0,32.0,-4.04,2.31,-1.28,1.15,-25.61,20.63,-22.12,14.61,-143.64,82.43,-2.47,1.73,2.0,1.5707963267948966,3.38664130441004,9,2,8,2,0.562153243650869,0.405979500414366
31,67.0,16.0,32.0,-4.29,5.26,-1.1,0.87,-59.03,84.49,-31.54,14.95,-374.58,246.13,-1.36,1.92,3.796875,3.0,1.88238996435061,10,3,9,3,0.790948860464998,0.652439116586334
